name,latitude,longitude,weight
2023_06_03T22_46_51.857404Z.gpx,47.711458799999996,-122.15373899999999,1
2023_10_15T16_28_56.922347.gpx,30.4865513,-91.2510585,1
2023_05_24T00_03_55.713930Z.gpx,47.915664899999996,-122.20853419999999,1
2023_03_23T14_21_59.444778Z.gpx,47.7969185,-122.2181148,1
2023_10_15T08_27_35.687770.gpx,24.636143099999998,120.8177803,1
2023_07_08T19_37_35.580535Z.gpx,47.4629848,-122.2660631,1
2023_05_18T23_01_07.275469Z.gpx,47.6738832,-122.0900994,1
2023_03_25T02_03_04.052634Z.gpx,47.9395276,-122.28240059999999,1
2023_10_15T17_30_31.489842.gpx,24.6891554,120.8656886,1
2023_06_07T15_35_52.377035Z.gpx,47.692887299999995,-122.0930731,1
2023_04_27T22_18_16.224480Z.gpx,47.915406999999995,-122.2086021,1
2023_03_24T21_36_31.815404Z.gpx,47.9370324,-122.2680596,1
2023_10_15T20_31_57.628460.gpx,24.9757467,121.5336792,1
2023_10_15T16_13_46.704135.gpx,30.5543707,-91.5444946,1
2023_05_16T00_06_37.200234Z.gpx,47.940099,-122.2823744,1
2023_06_15T21_27_06.499093Z.gpx,47.939090199999995,-122.2814006,1
2023_10_15T14_56_34.237778.gpx,31.120598299999997,-92.4424726,1
2023_03_31T13_47_03.224506Z.gpx,47.711431999999995,-122.15567999999999,1
2023_04_24T22_26_04.593494Z.gpx,47.7662913,-122.1882613,1
2023_10_15T16_22_58.455182.gpx,24.934753699999998,121.3702684,1
2023_05_08T13_36_38.177410Z.gpx,47.7836188,-122.1946219,1
2023_05_07T22_38_03.260475Z.gpx,47.6427595,-122.27114449999999,1
2023_05_26T13_39_14.572909Z.gpx,47.775365099999995,-122.1907531,1
2023_07_17T23_12_05.424149Z.gpx,47.940457699999996,-122.26261509999999,1
2023_07_25T16_20_12.934271Z.gpx,47.5328491,-121.95781699999999,1
2023_10_15T16_35_49.934904Z.gpx,41.56316555488196,-72.91703343722382,1
2023_07_24T13_53_59.469832Z.gpx,47.693968899999994,-122.0991085,1
2023_05_16T19_50_57.300306Z.gpx,47.4493947,-122.29992159999999,1
2023_05_20T17_17_35.523370Z.gpx,47.8607916,-122.2488503,1
2023_04_20T20_33_41.577125Z.gpx,47.6301663,-122.16519079999999,1
2023_10_15T15_11_34.505657.gpx,30.9204992,-92.2491388,1
2023_05_27T19_45_31.795273Z.gpx,47.6734721,-122.10596969999999,1
2023_07_04T22_58_01.163251Z.gpx,47.4643745,-122.2719894,1
2023_06_02T23_25_40.203179Z.gpx,47.7775538,-122.1921029,1
2023_04_05T00_06_59.682213Z.gpx,47.7571389,-122.18484489999999,1
2023_03_26T02_10_21.818048Z.gpx,47.6295429,-122.15598689999999,1
2023_10_15T18_15_23.263194Z.gpx,38.78533828878967,-121.36424729689553,1
2023_05_09T22_22_37.304667Z.gpx,47.7296085,-122.1890895,1
2023_10_15T19_22_02.080133.gpx,40.296225899999996,-111.694537,1
2023_10_15T15_28_24.080206.gpx,24.9866897,121.49104919999999,1
2023_06_20T22_19_25.313288Z.gpx,47.7868766,-122.19937909999999,1
2023_04_05T14_33_23.698572Z.gpx,47.693925799999995,-122.09905529999999,1
2023_06_01T14_56_10.516357Z.gpx,47.690629799999996,-122.1812113,1
2023_10_15T08_38_20.804407.gpx,24.683563,120.8790183,1
2023_06_24T03_47_11.516661Z.gpx,47.6220491,-122.17793739999999,1
2023_05_25T13_30_35.322570Z.gpx,47.7058788,-122.13185259999999,1
2023_05_31T13_01_09.356175Z.gpx,47.693971399999995,-122.0991143,1
2023_05_12T13_52_59.605044Z.gpx,47.7112426,-122.13212349999999,1
2023_10_15T15_36_34.564664Z.gpx,23.0543342,120.2719972,1
2023_07_25T03_05_29.668778Z.gpx,47.443940399999995,-122.29756379999999,1
2023_10_15T15_31_25.734560.gpx,24.975299099999997,121.4596277,1
2023_07_13T12_30_24.788228Z.gpx,47.444088,-122.2980455,1
2023_05_05T13_44_14.992737Z.gpx,47.7089278,-122.17559969999999,1
2023_04_04T23_45_55.896089Z.gpx,47.9390376,-122.28227109999999,1
2023_06_29T00_46_04.430102Z.gpx,47.7112968,-122.15316639999999,1
2023_10_15T19_32_19.568846Z.gpx,38.76839001342896,-121.26580996323888,1
